From Date,To Date,PM2.5
01-11-2021 00:00,02-11-2021 00:00,42.28
02-11-2021 00:00,03-11-2021 00:00,16.12
03-11-2021 00:00,04-11-2021 00:00,27.4
04-11-2021 00:00,05-11-2021 00:00,63.36
05-11-2021 00:00,06-11-2021 00:00,55.66
06-11-2021 00:00,07-11-2021 00:00,82.18
07-11-2021 00:00,08-11-2021 00:00,74.76
08-11-2021 00:00,09-11-2021 00:00,68.32
09-11-2021 00:00,10-11-2021 00:00,80.46
10-11-2021 00:00,11-11-2021 00:00,84.59
11-11-2021 00:00,12-11-2021 00:00,54.01
12-11-2021 00:00,13-11-2021 00:00,15.95
13-11-2021 00:00,14-11-2021 00:00,11.62
14-11-2021 00:00,15-11-2021 00:00,5.29
15-11-2021 00:00,16-11-2021 00:00,9.57
16-11-2021 00:00,17-11-2021 00:00,15.62
17-11-2021 00:00,18-11-2021 00:00,52.51
18-11-2021 00:00,19-11-2021 00:00,80.99
19-11-2021 00:00,20-11-2021 00:00,59.49
20-11-2021 00:00,21-11-2021 00:00,35.27
21-11-2021 00:00,22-11-2021 00:00,24.02
22-11-2021 00:00,23-11-2021 00:00,28.45
23-11-2021 00:00,24-11-2021 00:00,28.43
24-11-2021 00:00,25-11-2021 00:00,30.93
25-11-2021 00:00,26-11-2021 00:00,76.69
26-11-2021 00:00,27-11-2021 00:00,72.14
27-11-2021 00:00,28-11-2021 00:00,80.69
28-11-2021 00:00,29-11-2021 00:00,101.07
29-11-2021 00:00,30-11-2021 00:00,66.02
30-11-2021 00:00,01-12-2021 00:00,68.49
01-12-2021 00:00,02-12-2021 00:00,81.67
02-12-2021 00:00,03-12-2021 00:00,67.02
03-12-2021 00:00,04-12-2021 00:00,50.31
04-12-2021 00:00,05-12-2021 00:00,26.94
05-12-2021 00:00,06-12-2021 00:00,21.85
06-12-2021 00:00,07-12-2021 00:00,19.72
07-12-2021 00:00,08-12-2021 00:00,24.44
08-12-2021 00:00,09-12-2021 00:00,34.96
09-12-2021 00:00,10-12-2021 00:00,27.82
10-12-2021 00:00,11-12-2021 00:00,24.08
11-12-2021 00:00,12-12-2021 00:00,22.48
12-12-2021 00:00,13-12-2021 00:00,39.58
13-12-2021 00:00,14-12-2021 00:00,84.26
14-12-2021 00:00,15-12-2021 00:00,81.2
15-12-2021 00:00,16-12-2021 00:00,86.13
16-12-2021 00:00,17-12-2021 00:00,77.44
17-12-2021 00:00,18-12-2021 00:00,53.63
18-12-2021 00:00,19-12-2021 00:00,64.69
19-12-2021 00:00,20-12-2021 00:00,82.54
20-12-2021 00:00,21-12-2021 00:00,107.68
21-12-2021 00:00,22-12-2021 00:00,52.52
22-12-2021 00:00,23-12-2021 00:00,102.11
23-12-2021 00:00,24-12-2021 00:00,114.05
24-12-2021 00:00,25-12-2021 00:00,107.38
25-12-2021 00:00,26-12-2021 00:00,75.28
26-12-2021 00:00,27-12-2021 00:00,67.93
27-12-2021 00:00,28-12-2021 00:00,63.18
28-12-2021 00:00,29-12-2021 00:00,65.82
29-12-2021 00:00,30-12-2021 00:00,54.87
30-12-2021 00:00,31-12-2021 00:00,54.47
31-12-2021 00:00,01-01-2022 00:00,29.44
01-01-2022 00:00,02-01-2022 00:00,58.93
02-01-2022 00:00,03-01-2022 00:00,68.36
03-01-2022 00:00,04-01-2022 00:00,75.22
04-01-2022 00:00,05-01-2022 00:00,61.2
05-01-2022 00:00,06-01-2022 00:00,71
06-01-2022 00:00,07-01-2022 00:00,87.15
07-01-2022 00:00,08-01-2022 00:00,73.23
08-01-2022 00:00,09-01-2022 00:00,114.11
09-01-2022 00:00,10-01-2022 00:00,101.79
10-01-2022 00:00,11-01-2022 00:00,61.06
11-01-2022 00:00,12-01-2022 00:00,34.95
12-01-2022 00:00,13-01-2022 00:00,25.7
13-01-2022 00:00,14-01-2022 00:00,31.65
14-01-2022 00:00,15-01-2022 00:00,38.27
15-01-2022 00:00,16-01-2022 00:00,35.72
16-01-2022 00:00,17-01-2022 00:00,43.82
17-01-2022 00:00,18-01-2022 00:00,67.81
18-01-2022 00:00,19-01-2022 00:00,72.77
19-01-2022 00:00,20-01-2022 00:00,94.97
20-01-2022 00:00,21-01-2022 00:00,98.01
21-01-2022 00:00,22-01-2022 00:00,81.7
22-01-2022 00:00,23-01-2022 00:00,75.68
23-01-2022 00:00,24-01-2022 00:00,69.07
24-01-2022 00:00,25-01-2022 00:00,49.97
25-01-2022 00:00,26-01-2022 00:00,46.53
26-01-2022 00:00,27-01-2022 00:00,31.73
27-01-2022 00:00,28-01-2022 00:00,65.04
28-01-2022 00:00,29-01-2022 00:00,75.18
29-01-2022 00:00,30-01-2022 00:00,53.06
30-01-2022 00:00,31-01-2022 00:00,82.59
31-01-2022 00:00,01-02-2022 00:00,91.96
01-02-2022 00:00,02-02-2022 00:00,61.67
02-02-2022 00:00,03-02-2022 00:00,40.42
03-02-2022 00:00,04-02-2022 00:00,27.89
04-02-2022 00:00,05-02-2022 00:00,37.21
05-02-2022 00:00,06-02-2022 00:00,32.24
06-02-2022 00:00,07-02-2022 00:00,41.33
07-02-2022 00:00,08-02-2022 00:00,53.54
08-02-2022 00:00,09-02-2022 00:00,51.94
09-02-2022 00:00,10-02-2022 00:00,51.23
10-02-2022 00:00,11-02-2022 00:00,59.62
11-02-2022 00:00,12-02-2022 00:00,39.82
12-02-2022 00:00,13-02-2022 00:00,75.23
13-02-2022 00:00,14-02-2022 00:00,60.95
14-02-2022 00:00,15-02-2022 00:00,53.02
15-02-2022 00:00,16-02-2022 00:00,59.12
16-02-2022 00:00,17-02-2022 00:00,87.4
17-02-2022 00:00,18-02-2022 00:00,84.53
18-02-2022 00:00,19-02-2022 00:00,81.87
19-02-2022 00:00,20-02-2022 00:00,82.86
20-02-2022 00:00,21-02-2022 00:00,85.97
21-02-2022 00:00,22-02-2022 00:00,56.25
22-02-2022 00:00,23-02-2022 00:00,51.24
23-02-2022 00:00,24-02-2022 00:00,41.59
24-02-2022 00:00,25-02-2022 00:00,30.44
25-02-2022 00:00,26-02-2022 00:00,40.77
26-02-2022 00:00,27-02-2022 00:00,43.76
27-02-2022 00:00,28-02-2022 00:00,33.87
28-02-2022 00:00,01-03-2022 00:00,50.98
01-03-2022 00:00,02-03-2022 00:00,65.15
02-03-2022 00:00,03-03-2022 00:00,29.34
03-03-2022 00:00,04-03-2022 00:00,36.1
04-03-2022 00:00,05-03-2022 00:00,67.33
05-03-2022 00:00,06-03-2022 00:00,53.11
06-03-2022 00:00,07-03-2022 00:00,56.69
07-03-2022 00:00,08-03-2022 00:00,61.85
08-03-2022 00:00,09-03-2022 00:00,51.46
09-03-2022 00:00,10-03-2022 00:00,61.7
10-03-2022 00:00,11-03-2022 00:00,79.22
11-03-2022 00:00,12-03-2022 00:00,70
12-03-2022 00:00,13-03-2022 00:00,73.55
13-03-2022 00:00,14-03-2022 00:00,82.01
14-03-2022 00:00,15-03-2022 00:00,74.22
15-03-2022 00:00,16-03-2022 00:00,83.38
16-03-2022 00:00,17-03-2022 00:00,64.48
17-03-2022 00:00,18-03-2022 00:00,48.02
18-03-2022 00:00,19-03-2022 00:00,41.21
19-03-2022 00:00,20-03-2022 00:00,39.33
20-03-2022 00:00,21-03-2022 00:00,39.56
21-03-2022 00:00,22-03-2022 00:00,46.78
22-03-2022 00:00,23-03-2022 00:00,51.66
23-03-2022 00:00,24-03-2022 00:00,52.53
24-03-2022 00:00,25-03-2022 00:00,51.08
25-03-2022 00:00,26-03-2022 00:00,43.12
26-03-2022 00:00,27-03-2022 00:00,43.82
27-03-2022 00:00,28-03-2022 00:00,43.05
28-03-2022 00:00,29-03-2022 00:00,32.44
29-03-2022 00:00,30-03-2022 00:00,30.56
30-03-2022 00:00,31-03-2022 00:00,27
31-03-2022 00:00,01-04-2022 00:00,30.14
01-04-2022 00:00,02-04-2022 00:00,22.48
02-04-2022 00:00,03-04-2022 00:00,21.05
03-04-2022 00:00,04-04-2022 00:00,23.55
04-04-2022 00:00,05-04-2022 00:00,13.43
05-04-2022 00:00,06-04-2022 00:00,12.3
06-04-2022 00:00,07-04-2022 00:00,17.66
07-04-2022 00:00,08-04-2022 00:00,26.36
08-04-2022 00:00,09-04-2022 00:00,18.62
09-04-2022 00:00,10-04-2022 00:00,18.78
10-04-2022 00:00,11-04-2022 00:00,11.73
11-04-2022 00:00,12-04-2022 00:00,14.73
12-04-2022 00:00,13-04-2022 00:00,11.59
13-04-2022 00:00,14-04-2022 00:00,13.73
14-04-2022 00:00,15-04-2022 00:00,14.46
15-04-2022 00:00,16-04-2022 00:00,16.43
16-04-2022 00:00,17-04-2022 00:00,21.96
17-04-2022 00:00,18-04-2022 00:00,18.8
18-04-2022 00:00,19-04-2022 00:00,23.03
19-04-2022 00:00,20-04-2022 00:00,29.4
20-04-2022 00:00,21-04-2022 00:00,21.56
21-04-2022 00:00,22-04-2022 00:00,19.12
22-04-2022 00:00,23-04-2022 00:00,14.99
23-04-2022 00:00,24-04-2022 00:00,15.42
24-04-2022 00:00,25-04-2022 00:00,24.26
25-04-2022 00:00,26-04-2022 00:00,29.42
26-04-2022 00:00,27-04-2022 00:00,23.82
27-04-2022 00:00,28-04-2022 00:00,24.93
28-04-2022 00:00,29-04-2022 00:00,26.66
29-04-2022 00:00,30-04-2022 00:00,26.27
30-04-2022 00:00,01-05-2022 00:00,31.57
01-05-2022 00:00,02-05-2022 00:00,24.04
02-05-2022 00:00,03-05-2022 00:00,25.27
03-05-2022 00:00,04-05-2022 00:00,25.84
04-05-2022 00:00,05-05-2022 00:00,35.47
05-05-2022 00:00,06-05-2022 00:00,30.88
06-05-2022 00:00,07-05-2022 00:00,40.81
07-05-2022 00:00,08-05-2022 00:00,36.07
08-05-2022 00:00,09-05-2022 00:00,32.05
09-05-2022 00:00,10-05-2022 00:00,17.23
10-05-2022 00:00,11-05-2022 00:00,20.63
11-05-2022 00:00,12-05-2022 00:00,32.14
12-05-2022 00:00,13-05-2022 00:00,31.71
13-05-2022 00:00,14-05-2022 00:00,39.55
14-05-2022 00:00,15-05-2022 00:00,28.67
15-05-2022 00:00,16-05-2022 00:00,41.9
16-05-2022 00:00,17-05-2022 00:00,15.98
17-05-2022 00:00,18-05-2022 00:00,18.36
18-05-2022 00:00,19-05-2022 00:00,18.52
19-05-2022 00:00,20-05-2022 00:00,17.41
20-05-2022 00:00,21-05-2022 00:00,24.41
21-05-2022 00:00,22-05-2022 00:00,34.41
22-05-2022 00:00,23-05-2022 00:00,40.98
23-05-2022 00:00,24-05-2022 00:00,59.08
24-05-2022 00:00,25-05-2022 00:00,29.11
25-05-2022 00:00,26-05-2022 00:00,28.14
26-05-2022 00:00,27-05-2022 00:00,42.79
27-05-2022 00:00,28-05-2022 00:00,53.43
28-05-2022 00:00,29-05-2022 00:00,68.05
29-05-2022 00:00,30-05-2022 00:00,64.64
30-05-2022 00:00,31-05-2022 00:00,41.9
31-05-2022 00:00,01-06-2022 00:00,37
01-06-2022 00:00,02-06-2022 00:00,49.94
02-06-2022 00:00,03-06-2022 00:00,42.42
03-06-2022 00:00,04-06-2022 00:00,45.81
04-06-2022 00:00,05-06-2022 00:00,38.1
05-06-2022 00:00,06-06-2022 00:00,26.4
06-06-2022 00:00,07-06-2022 00:00,41.29
07-06-2022 00:00,08-06-2022 00:00,61.75
08-06-2022 00:00,09-06-2022 00:00,53.33
09-06-2022 00:00,10-06-2022 00:00,52.98
10-06-2022 00:00,11-06-2022 00:00,51.79
11-06-2022 00:00,12-06-2022 00:00,34.52
12-06-2022 00:00,13-06-2022 00:00,27.56
13-06-2022 00:00,14-06-2022 00:00,31.54
14-06-2022 00:00,15-06-2022 00:00,42.2
15-06-2022 00:00,16-06-2022 00:00,29.72
16-06-2022 00:00,17-06-2022 00:00,10.33
17-06-2022 00:00,18-06-2022 00:00,11.84
18-06-2022 00:00,19-06-2022 00:00,20.53
19-06-2022 00:00,20-06-2022 00:00,23.56
20-06-2022 00:00,21-06-2022 00:00,29.96
21-06-2022 00:00,22-06-2022 00:00,36.23
22-06-2022 00:00,23-06-2022 00:00,30.8
23-06-2022 00:00,24-06-2022 00:00,26.12
24-06-2022 00:00,25-06-2022 00:00,46.25
25-06-2022 00:00,26-06-2022 00:00,45.49
26-06-2022 00:00,27-06-2022 00:00,33.63
27-06-2022 00:00,28-06-2022 00:00,29.06
28-06-2022 00:00,29-06-2022 00:00,33.7
29-06-2022 00:00,30-06-2022 00:00,36.47
30-06-2022 00:00,01-07-2022 00:00,36.77
01-07-2022 00:00,02-07-2022 00:00,32.93
02-07-2022 00:00,03-07-2022 00:00,43.2
03-07-2022 00:00,04-07-2022 00:00,46.42
04-07-2022 00:00,05-07-2022 00:00,26.81
05-07-2022 00:00,06-07-2022 00:00,31.84
06-07-2022 00:00,07-07-2022 00:00,25.28
07-07-2022 00:00,08-07-2022 00:00,36.94
08-07-2022 00:00,09-07-2022 00:00,26.19
09-07-2022 00:00,10-07-2022 00:00,19.85
10-07-2022 00:00,11-07-2022 00:00,16.63
11-07-2022 00:00,12-07-2022 00:00,19.88
12-07-2022 00:00,13-07-2022 00:00,17.56
13-07-2022 00:00,14-07-2022 00:00,21.55
14-07-2022 00:00,15-07-2022 00:00,22.83
15-07-2022 00:00,16-07-2022 00:00,31.8
16-07-2022 00:00,17-07-2022 00:00,36.63
17-07-2022 00:00,18-07-2022 00:00,31.67
18-07-2022 00:00,19-07-2022 00:00,24.86
19-07-2022 00:00,20-07-2022 00:00,27
20-07-2022 00:00,21-07-2022 00:00,37.18
21-07-2022 00:00,22-07-2022 00:00,44.79
22-07-2022 00:00,23-07-2022 00:00,31.88
23-07-2022 00:00,24-07-2022 00:00,29.07
24-07-2022 00:00,25-07-2022 00:00,25.01
25-07-2022 00:00,26-07-2022 00:00,26.78
26-07-2022 00:00,27-07-2022 00:00,34.78
27-07-2022 00:00,28-07-2022 00:00,27.04
28-07-2022 00:00,29-07-2022 00:00,26.84
29-07-2022 00:00,30-07-2022 00:00,27.12
30-07-2022 00:00,31-07-2022 00:00,32.32
31-07-2022 00:00,01-08-2022 00:00,20.34
01-08-2022 00:00,02-08-2022 00:00,22.53
02-08-2022 00:00,03-08-2022 00:00,33.14
03-08-2022 00:00,04-08-2022 00:00,28.49
04-08-2022 00:00,05-08-2022 00:00,16.46
05-08-2022 00:00,06-08-2022 00:00,22.92
06-08-2022 00:00,07-08-2022 00:00,24.57
07-08-2022 00:00,08-08-2022 00:00,22.23
08-08-2022 00:00,09-08-2022 00:00,27.25
09-08-2022 00:00,10-08-2022 00:00,21.6
10-08-2022 00:00,11-08-2022 00:00,28.69
11-08-2022 00:00,12-08-2022 00:00,26.29
12-08-2022 00:00,13-08-2022 00:00,26.31
13-08-2022 00:00,14-08-2022 00:00,29.38
14-08-2022 00:00,15-08-2022 00:00,22.21
15-08-2022 00:00,16-08-2022 00:00,25.46
16-08-2022 00:00,17-08-2022 00:00,25.16
17-08-2022 00:00,18-08-2022 00:00,40.38
18-08-2022 00:00,19-08-2022 00:00,41.57
19-08-2022 00:00,20-08-2022 00:00,32.37
20-08-2022 00:00,21-08-2022 00:00,32.19
21-08-2022 00:00,22-08-2022 00:00,34.52
22-08-2022 00:00,23-08-2022 00:00,33.5
23-08-2022 00:00,24-08-2022 00:00,32.29
24-08-2022 00:00,25-08-2022 00:00,26.29
25-08-2022 00:00,26-08-2022 00:00,41.07
26-08-2022 00:00,27-08-2022 00:00,35.77
27-08-2022 00:00,28-08-2022 00:00,47.79
28-08-2022 00:00,29-08-2022 00:00,39.16
29-08-2022 00:00,30-08-2022 00:00,27.98
30-08-2022 00:00,31-08-2022 00:00,21.89
31-08-2022 00:00,01-09-2022 00:00,26.17
01-09-2022 00:00,02-09-2022 00:00,13.18
02-09-2022 00:00,03-09-2022 00:00,7.93
03-09-2022 00:00,04-09-2022 00:00,15.33
04-09-2022 00:00,05-09-2022 00:00,32.08
05-09-2022 00:00,06-09-2022 00:00,27.4
06-09-2022 00:00,07-09-2022 00:00,19.92
07-09-2022 00:00,08-09-2022 00:00,37.86
08-09-2022 00:00,09-09-2022 00:00,11.03
09-09-2022 00:00,10-09-2022 00:00,7.3
10-09-2022 00:00,11-09-2022 00:00,18.14
11-09-2022 00:00,12-09-2022 00:00,26.29
12-09-2022 00:00,13-09-2022 00:00,23.98
13-09-2022 00:00,14-09-2022 00:00,29.63
14-09-2022 00:00,15-09-2022 00:00,35.93
15-09-2022 00:00,16-09-2022 00:00,38
16-09-2022 00:00,17-09-2022 00:00,34.79
17-09-2022 00:00,18-09-2022 00:00,36.41
18-09-2022 00:00,19-09-2022 00:00,31.1
19-09-2022 00:00,20-09-2022 00:00,34.68
20-09-2022 00:00,21-09-2022 00:00,34.55
21-09-2022 00:00,22-09-2022 00:00,43.77
22-09-2022 00:00,23-09-2022 00:00,49.24
23-09-2022 00:00,24-09-2022 00:00,47.73
24-09-2022 00:00,25-09-2022 00:00,43.9
25-09-2022 00:00,26-09-2022 00:00,42.19
26-09-2022 00:00,27-09-2022 00:00,31.52
27-09-2022 00:00,28-09-2022 00:00,35.74
28-09-2022 00:00,29-09-2022 00:00,27.76
29-09-2022 00:00,30-09-2022 00:00,31.52
30-09-2022 00:00,01-10-2022 00:00,15.22
01-10-2022 00:00,02-10-2022 00:00,27.98
02-10-2022 00:00,03-10-2022 00:00,39.05
03-10-2022 00:00,04-10-2022 00:00,59.64
04-10-2022 00:00,05-10-2022 00:00,38.11
05-10-2022 00:00,06-10-2022 00:00,15.7
06-10-2022 00:00,07-10-2022 00:00,14.63
07-10-2022 00:00,08-10-2022 00:00,15.13
08-10-2022 00:00,09-10-2022 00:00,13.33
09-10-2022 00:00,10-10-2022 00:00,11.63
10-10-2022 00:00,11-10-2022 00:00,20.96
11-10-2022 00:00,12-10-2022 00:00,30.26
12-10-2022 00:00,13-10-2022 00:00,35.5
13-10-2022 00:00,14-10-2022 00:00,28.63
14-10-2022 00:00,15-10-2022 00:00,14.2
15-10-2022 00:00,16-10-2022 00:00,14.25
16-10-2022 00:00,17-10-2022 00:00,8.59
17-10-2022 00:00,18-10-2022 00:00,31.55
18-10-2022 00:00,19-10-2022 00:00,55.51
19-10-2022 00:00,20-10-2022 00:00,54.22
20-10-2022 00:00,21-10-2022 00:00,55.7
21-10-2022 00:00,22-10-2022 00:00,56.38
22-10-2022 00:00,23-10-2022 00:00,52.92
23-10-2022 00:00,24-10-2022 00:00,39.52
24-10-2022 00:00,25-10-2022 00:00,107.93
25-10-2022 00:00,26-10-2022 00:00,89.54
26-10-2022 00:00,27-10-2022 00:00,69.99
27-10-2022 00:00,28-10-2022 00:00,49.49
28-10-2022 00:00,29-10-2022 00:00,58.4
29-10-2022 00:00,30-10-2022 00:00,64.07
30-10-2022 00:00,31-10-2022 00:00,64.72
31-10-2022 00:00,01-11-2022 00:00,58.38
01-11-2022 00:00,02-11-2022 00:00,46.5
